"Letališki potniški in blagovni promet glede na prihod/odhod letal ter redne/posebne prevoze po državah prihoda/odhoda letal, Ljubljana, Letališèe Jožeta Puènika, meseèno"

"MESEC";"PRIHOD/ODHOD LETAL";"DRŽAVA PRIHODA/ODHODA LETAL";"Potniki"
"2004M04";"Odhod letal";"Latvija";0
"2004M04";"Odhod letal";"Libanon";0
"2004M04";"Odhod letal";"Libijska Arabska Džamahirija";0
"2004M04";"Odhod letal";"Litva";0
"2004M04";"Odhod letal";"Luksemburg";8
"2004M04";"Odhod letal";"Madžarska";0
"2004M04";"Odhod letal";"Severna Makedonija";1387
"2004M04";"Odhod letal";"Malta";0
"2004M04";"Odhod letal";"Maroko";0
"2004M04";"Odhod letal";"Moldavija (Republika)";0
"2004M04";"Odhod letal";"Nemèija";7763
"2004M04";"Odhod letal";"Nigerija";0
"2004M04";"Odhod letal";"Nizozemska";485
"2004M04";"Odhod letal";"Norveška";48
"2004M04";"Odhod letal";"Oman";0
"2004M04";"Odhod letal";"Pakistan";0
"2004M04";"Odhod letal";"Poljska";71
"2004M04";"Odhod letal";"Portugalska";0
"2004M04";"Odhod letal";"Romunija";10
"2004M04";"Odhod letal";"Ruska federacija";925
"2004M04";"Odhod letal";"Saudska Arabija";0
"2004M04";"Odhod letal";"Sirska Arabska Republika";0
"2004M04";"Odhod letal";"Slovaška";0
"2004M04";"Odhod letal";"Slovenija";38
"2004M04";"Odhod letal";"Somalija";0
"2004M04";"Odhod letal";"Srbija";0
"2004M04";"Odhod letal";"Srbija in Èrna Gora";2957
"2004M04";"Odhod letal";"Sudan";0
"2004M04";"Odhod letal";"Španija";170
"2004M04";"Odhod letal";"Švedska";0
"2004M04";"Odhod letal";"Švica";940
"2004M04";"Odhod letal";"Tanzanija";0
"2004M04";"Odhod letal";"Tunizija";293
"2004M04";"Odhod letal";"Turèija";4411
"2004M04";"Odhod letal";"Turkmenistan";0
"2004M04";"Odhod letal";"Ukrajina";0
"2004M04";"Odhod letal";"Uzbekistan";0
"2004M04";"Odhod letal";"Združene države";0
"2004M04";"Odhod letal";"Združeni arabski emirati";0
"2004M04";"Odhod letal";"Združeno kraljestvo";2005
"2004M04";"Odhod letal";"Neznano";0
"2004M05";"Odhod letal";"Države prihoda/odhoda letal - SKUPAJ";40175
"2004M05";"Odhod letal";"Afganistan";0
"2004M05";"Odhod letal";"Albanija";331
"2004M05";"Odhod letal";"Alžirija";0
"2004M05";"Odhod letal";"Armenija";0
"2004M05";"Odhod letal";"Avstrija";3413
"2004M05";"Odhod letal";"Azerbajdžan";0
"2004M05";"Odhod letal";"Belgija";1323
"2004M05";"Odhod letal";"Belorusija";0
"2004M05";"Odhod letal";"Bolgarija";16
"2004M05";"Odhod letal";"Bosna in Hercegovina";1485
"2004M05";"Odhod letal";"Ciper";0
"2004M05";"Odhod letal";"Èad";0
"2004M05";"Odhod letal";"Èeška republika";864
"2004M05";"Odhod letal";"Èrna Gora";0
"2004M05";"Odhod letal";"Danska";557
"2004M05";"Odhod letal";"Egipt";802
"2004M05";"Odhod letal";"Estonija";0
"2004M05";"Odhod letal";"Finska";27
"2004M05";"Odhod letal";"Francija";3473
"2004M05";"Odhod letal";"Gibraltar";3
"2004M05";"Odhod letal";"Grèija";99
"2004M05";"Odhod letal";"Gruzija";0
"2004M05";"Odhod letal";"Hrvaška";648
"2004M05";"Odhod letal";"Iran (Islamska republika)";0
"2004M05";"Odhod letal";"Irska";147
"2004M05";"Odhod letal";"Islandija";0
"2004M05";"Odhod letal";"Italija";12
"2004M05";"Odhod letal";"Izrael";153
"2004M05";"Odhod letal";"Japonska";0
"2004M05";"Odhod letal";"Jordanija";141
"2004M05";"Odhod letal";"Južna Afrika";0
"2004M05";"Odhod letal";"Kanada";0
"2004M05";"Odhod letal";"Katar";0
"2004M05";"Odhod letal";"Kazahstan";0
"2004M05";"Odhod letal";"Kirgizistan";0
"2004M05";"Odhod letal";"Kitajska (Ljudska republika)";0
"2004M05";"Odhod letal";"Kosovo";0
"2004M05";"Odhod letal";"Kuvajt";0
"2004M05";"Odhod letal";"Latvija";0
